site_id,name,slug,region,state,primary_deity,domain,geo_scope,city_id,file
TMP-0163,Shrikhand Mahadev,shrikhand-mahadev,"Nirmand, Kullu district",Himachal Pradesh,shiva,religious,india,,shrikhand-mahadev.mdx
TMP-0164,"Shrinathji Temple, Nathdwara",shrinathji-nathdwara,Nathdwara,Rajasthan,krishna,religious,india,,shrinathji-nathdwara.mdx
TMP-0165,"Shrinkhala Devi Shakti Peetha, Pandua",shrinkhala-pandua,"Pandua (Praddyumnam), Hooghly district",West Bengal,devi,religious,india,,shrinkhala-pandua.mdx
TMP-0166,"Siddhivinayak Temple, Mumbai",siddhivinayak-mumbai,"Prabhadevi, Mumbai",Maharashtra,ganesha,religious,india,,siddhivinayak-mumbai.mdx
TMP-0167,"Siddhivinayak Temple, Siddhatek (Ashtavinayak)",siddhivinayak-siddhatek,"Siddhatek, on the Bhima river, Ahmednagar district",Maharashtra,ganesha,religious,india,,siddhivinayak-siddhatek.mdx
TMP-0168,"Janaki Mandir, Sitamarhi",sitamarhi-janaki,Sitamarhi (Punaura Dham),Bihar,radha,religious,india,,sitamarhi-janaki.mdx
TMP-0169,Somnath Temple,somnath,"Prabhas Patan, Gir Somnath district",Gujarat,shiva,religious,india,,somnath.mdx
TMP-0170,Sri Parvat Shakti Peetha,sri-parvat-ladakh,Location disputed — most commonly cited as Ladakh; also claimed at Sylhet and Srisailam,Ladakh (disputed),devi,religious,india,,sri-parvat-ladakh.mdx
TMP-0171,Sugandha Shakti Peetha,sugandha-barisal,"Shikarpur village, on the Sugandha river, near Barisal",Bangladesh,devi,religious,international,,sugandha-barisal.mdx
TMP-0172,Suryanar Kovil (Navagraha: Surya Sthalam),suryanar-kovil,"Suryanar Koil village, near Aduthurai, Thanjavur district",Tamil Nadu,surya,religious,india,,suryanar-kovil.mdx
TMP-0173,Swamimalai Murugan Temple (Fourth Arupadaiveedu),swamimalai-murugan,"Swamimalai, near Kumbakonam",Tamil Nadu,kartikeya,religious,india,,swamimalai-murugan.mdx
TMP-0174,"Tadkeshwar Mahadev Temple, Lansdowne",tadkeshwar-mahadev-lansdowne,"Near Lansdowne, Pauri Garhwal district",Uttarakhand,shiva,religious,india,,tadkeshwar-mahadev-lansdowne.mdx
TMP-0175,Tara Tarini Temple,tara-tarini,"Purushottampur, Ganjam district",Odisha,devi,religious,india,,tara-tarini.mdx
TMP-0176,Tarapith Temple,tarapith,"Tarapith, near the Dwaraka river, Rampurhat subdivision, Birbhum district",West Bengal,kali,religious,india,,tarapith.mdx
TMP-0177,Thingalur Chandra Temple (Navagraha: Chandra Sthalam),thingalur-chandra-temple,"Thingalur, near Thanjavur",Tamil Nadu,chandra,religious,india,,thingalur-chandra-temple.mdx
TMP-0178,"Sri Naganathaswamy Temple, Thirunageswaram (Navagraha: Rahu Sthalam)",thirunageswaram-rahu-temple,"Thirunageswaram, near Kumbakonam",Tamil Nadu,rahu,religious,india,,thirunageswaram-rahu-temple.mdx
TMP-0179,Thirunallar Saneeswaran Temple (Navagraha: Shani Sthalam),thirunallar-shani-temple,"Thirunallar, Karaikal district",Puducherry (Union Territory),shani,religious,india,,thirunallar-shani-temple.mdx
TMP-0180,Thiruparankundram Murugan Temple (First Arupadaiveedu),thiruparankundram-murugan,"Thiruparankundram, near Madurai",Tamil Nadu,kartikeya,religious,india,,thiruparankundram-murugan.mdx
TMP-0181,Thiruthani Murugan Temple (Fifth Arupadaiveedu),thiruthani-murugan,"Tiruttani, Tiruvallur district",Tamil Nadu,kartikeya,religious,india,,thiruthani-murugan.mdx
TMP-0182,Thiruvenkadu Budhan Temple (Navagraha: Budha Sthalam),thiruvenkadu-budhan-temple,"Thiruvenkadu, Mayiladuthurai district",Tamil Nadu,budh,religious,india,,thiruvenkadu-budhan-temple.mdx
TMP-0183,Tiruchendur Murugan Temple (Second Arupadaiveedu),tiruchendur-murugan,"Tiruchendur, Thoothukudi district, on the Bay of Bengal",Tamil Nadu,kartikeya,religious,india,,tiruchendur-murugan.mdx
TMP-0184,"Venkateswara Temple, Tirumala (Tirupati Balaji)",tirumala-venkateswara,"Tirumala hills, Tirupati",Andhra Pradesh,venkateswara,religious,india,,tirumala-venkateswara.mdx
TMP-0185,Treta Ke Thakur,treta-ke-thakur,"Naya Ghat, Ayodhya",Uttar Pradesh,rama,religious,india,CTY-002,treta-ke-thakur.mdx
TMP-0186,Trimbakeshwar Shiva Temple,trimbakeshwar,"Trimbak, Nashik district",Maharashtra,shiva,religious,india,CTY-012,trimbakeshwar.mdx
TMP-0187,"Tripura Sundari Temple, Udaipur",tripura-sundari-udaipur,"Udaipur (Rajbari), Gomati district",Tripura,devi,religious,india,,tripura-sundari-udaipur.mdx
TMP-0188,Triyuginarayan Temple,triyuginarayan-temple,"Triyuginarayan village, Rudraprayag district",Uttarakhand,vishnu,religious,india,,triyuginarayan-temple.mdx
TMP-0189,"Tulsi Manas Mandir, Varanasi",tulsi-manas-mandir-varanasi,"Durga Kund, Varanasi",Uttar Pradesh,tulsi,religious,india,CTY-001,tulsi-manas-mandir-varanasi.mdx
TMP-0190,Tungnath,tungnath,Uttarakhand,Uttarakhand,shiva,religious,india,,tungnath.mdx
TMP-0191,Udupi Sri Krishna Matha,udupi-krishna-matha,Udupi,Karnataka,krishna,religious,india,,udupi-krishna-matha.mdx
TMP-0192,"Baidyanath Temple, Deoghar",vaidyanath,Deoghar,Jharkhand,shiva,religious,india,,vaidyanath.mdx
TMP-0193,Vaishno Devi Temple,vaishno-devi,"Trikuta Hills, Katra, Reasi district",Jammu and Kashmir,vaishno-devi,religious,india,,vaishno-devi.mdx
TMP-0194,Vaitheeswaran Koil (Navagraha: Angaraka Sthalam),vaitheeswaran-koil,"Vaitheeswaran Koil village, near Sirkazhi",Tamil Nadu,mangal,religious,india,,vaitheeswaran-koil.mdx
TMP-0195,"Varadvinayak Temple, Mahad (Ashtavinayak)",varadvinayak-mahad,"Mahad, Khalapur taluka, Raigad district",Maharashtra,ganesha,religious,india,,varadvinayak-mahad.mdx
TMP-0196,"Vighnahar Temple, Ozar (Ashtavinayak)",vighnahar-ozar,"Ozar, near Junnar",Maharashtra,ganesha,religious,india,,vighnahar-ozar.mdx
TMP-0197,"Vimala Temple, Puri",vimala-puri,"Puri, within the Jagannath Temple complex",Odisha,devi,religious,india,CTY-008,vimala-puri.mdx
TMP-0198,"Vindhyavasini Devi Temple, Vindhyachal",vindhyavasini-devi,"Vindhyachal, on the banks of the Ganga, Mirzapur district",Uttar Pradesh,vindhyavasini,religious,india,,vindhyavasini-devi.mdx
TMP-0199,Vishalakshi Temple,vishalakshi,Varanasi,Uttar Pradesh,parvati,religious,india,CTY-001,vishalakshi.mdx
TMP-0200,Vishnu's Great Temples of India,vishnu-temples-india,Pan-India,Multiple,vishnu,religious,india,,vishnu-temples-india.mdx
TMP-0201,Vishnupad Temple,vishnupad-temple-gaya,"Gaya, on the banks of the Phalgu river",Bihar,vishnu,religious,india,CTY-013,vishnupad-temple-gaya.mdx
TMP-0202,"Vishwakarma Temple, Guwahati",vishwakarma-temple-guwahati,"Kamakhya Gate area, foothills of Nilachal Hill, Guwahati",Assam,vishwakarma,religious,india,,vishwakarma-temple-guwahati.mdx
TMP-0203,"Vishwanath Temple, Guptkashi",vishwanath-temple-guptkashi,"Guptkashi, Rudraprayag district",Uttarakhand,shiva,religious,india,,vishwanath-temple-guptkashi.mdx
TMP-0204,"Vishwanath Temple, Uttarkashi",vishwanath-temple-uttarkashi,Uttarkashi,Uttarakhand,shiva,religious,india,,vishwanath-temple-uttarkashi.mdx
TMP-0205,"Vithoba Temple, Pandharpur",vithoba-pandharpur,"Pandharpur, on the banks of the Chandrabhaga river",Maharashtra,vitthala,religious,india,,vithoba-pandharpur.mdx
TMP-0206,"Vyas Gufa (Vyas Cave), Mana Village",vyas-gufa-mana-badrinath,"Mana village, near Badrinath, Chamoli district",Uttarakhand,guru,religious,india,,vyas-gufa-mana-badrinath.mdx
TMP-0207,Yamunotri Temple,yamunotri,Uttarkashi district,Uttarakhand,yamuna,religious,india,,yamunotri.mdx
